Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,testa pirkums Cup,Cup,,All,,All,hidden,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Big Vase Pink (24cm),"Big porcelain Vase with golden specks in pink gradient
\n
\nHeight- 24cm
\n
\nDiameter - 15 cm
\n
\nHand wash only",,"All, Gold Selection, Vases",,"All, Gold Selection, Vases",hidden,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Big Vase Tangerine Sunrise,"Big Vase Tangerine Sunrise with golden specks.
\n
\nHeight – 27,7  cm
\n
\nHand wash only",,"All, Gold Selection, Vases",,"All, Gold Selection, Vases",visible,,,,,,,,,,,,,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L cup Blue-green,"Blue green L cup with golden specks and rim.
\n
\nHeight - 12,5 cm
\n
\nCapacity - 490 ml
\n
\nHand wash only
\n
\nPrice per one item",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mug Blue-green,"Blue-green mug with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 440ml
\n
\nHand wash only",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mug Tangerine Sunrise,"Mug Tangerine Sunrise with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 400 ml
\n
\nHand wash only
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made
\n
\n&nbsp;",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",visible,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S Vase B&W,"Small Vase in black and white gradient with gold accents
\n
\nHeight - 14,5 cm
\n
\nHand wash only.",,"All, Gold Selection, Vases",,"All, Gold Selection, Vases",hidden,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L cup gradient gold,"L cup gradient with golden specks
\n
\nHeight - 11,5 cm
\n
\nCapacity - 500 ml
\n
\nHand wash only",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L Cup Blue-green with Handle,"L cup blue-green with golden specks, handle and rim
\n
\nHeight - 12 / 12,5 cm
\n
\nCapacity ~ 450 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made
\n
\n&nbsp;",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",visible,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S Cup Pink,"S cup with golden specks, handle and rim
\n
\nHeight - 6,8 cm
\n
\nCapacity ~ 220 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\n&nbsp;",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L cup Pink with Handle,"L cup pink with golden specks, handle and rim
\n
\nHeight - 12 / 12,5 cm
\n
\nCapacity ~ 450 ml
\n
\nHand wash only, not microwave safe
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",visible,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L Cup Rainbow,"Rainbow L cup with golden specks and rim.
\n
\nHeight – 12,5 cm
\n
\nCapacity ~ 500 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Silver Cup Set,"Silver cup set includes L cup and saucer with silver accents
\n
\nCup height - 10,5 cm
\n
\nCapacity - 280 ml
\n
\nSaucer Diameter - 14,5 cm
\n
\nHand wash only",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Small Vase Pink,"Small Vase in Pink gradient with golden specks
\n
\nHeight -  15,5 cm
\n
\nDiameter - 12 cm
\n
\nHand wash only
\n
\n&nbsp;
\n
\n&nbsp;",,"All, Gold Selection, Vases",,"All, Gold Selection, Vases",hidden,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Small Vase Tangerine sunrise,"Small Vase in Orange-navy gradient with Gold specks
\n
\nHeight - 15,5 cm
\n
\nHand wash only
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made",,"All, Gold Selection, Vases",,"All, Gold Selection, Vases",visible,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L Cup Pink,"2x L cup in pink gradient with Gold specks and rim
\n
\nHeight - 12 cm
\n
\nCapacity - 460 ml
\n
\nHand wash only
\n
\nPrice per one item",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S Cup Blue-green,"Small cup in blue-green gradient with gold specks and rim
\n
\nHeight -  7/8 cm
\n
\nCapacity - 220 ml
\n
\nHand wash only
\n
\nPrice per one item",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L cup Lavender Haze with Handle,"L cup in Lavender gradient with gold specks, rim and handle
\n
\nHeight - 12/12,5 cm
\n
\nCapacity - 500 ml
\n
\nHand wash only
\n
\n&nbsp;",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Small Cup Rainbow,"Small Cup in rainbow gradient without handle and with gold accents
\n
\nHeight - 7 cm
\n
\nCapacity - 220 ml
\n
\nHand wash only",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oval Vase S,"Materials -  porcelain, crystallic glaze
\n
\nHeight - 18 cm",,"All, Vases",,"All, Vases",hidden,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oval Vase M,"Materials –  porcelain, crystallic glaze
\n
\nHeight – 20,5 cm",,"All, Vases",,"All, Vases",hidden,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oval Vase L,"<div class=""summary entry-summary"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nMaterials –  stoneware, glazes with different oxides
\n
\nHeight – 25 cm
\n
\n</div>
\n<form class=""cart"" action=""https://laurinsceramics.com/product/oval-vase-m/"" enctype=""multipart/form-data"" method=""post""></form></div>",,"All, Vases",,"All, Vases",hidden,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raku Vase,"This piece was hand built with stoneware and fired in the famous Raku pottery technique.
\n
\nIt was made as a ceramic decoration for your home, it can be used with dry flower arrangements (can't be used with water).
\n
\nHeight - 18,5 cm",,"All, Vases",,"All, Vases",hidden,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mises Award,"Portrait of  Ludwig von Mises on an award plate
\n
\nSize - D - 27cm
\n
\nMaterials - Clay, Pigment, Gold luster
\n
\n50% of price is donated to the Mises institute of Latvia",,Portraits,,Portraits,hidden,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hayek Award,"Portrait of Freidrich Hayek on an award plate
\n
\nSize – D – 27cm
\n
\nMaterials – Clay, Pigment, Gold luster
\n
\n50% of price is donated to the Mises institute of Latvia",,Portraits,,Portraits,visible,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rothbard Award,"Portrait of Murray Rothbard on an award plate
\n
\nSize – D – 27cm
\n
\nMaterials – Clay, Pigment, Gold luster
\n
\n50% of price is donated to the Mises institute of Latvia",,Portraits,,Portraits,visible,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bastiat Award,"Portrait of Frédéric Bastiat on an award plate
\n
\nSize – D – 27cm
\n
\nMaterials – Clay, Pigment, Gold luster
\n
\n50% of price is donated to the Mises institute of Latvia",,Portraits,,Portraits,visible,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L cup Pink with Handle #2,"L cup pink with golden specks, handle and rim
\n
\nHeight - 12,5 cm
\n
\nCapacity ~ 500 ml
\n
\nHand wash only",,"All, Cups, Gold Selection",,"All, Cups, Gold Selection",hidden,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
