ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
57,"simple, virtual",,"testa pirkums Cup",1,0,hidden,cup,Cup,,,taxable,,1,9974,,0,0,,,,,0,,,0.25,All,,,https://laurinsceramics.com/wp-content/uploads/2023/03/image00014-scaled.jpg,,,,,,,,,0
60,simple,,"Big Vase Pink (24cm)",1,0,hidden,"Big porcelain Vase with golden specks in pink gradient
\n
\nHeight- 24cm
\n
\nDiameter - 15 cm
\n
\nHand wash only","Big porcelain Vase with golden specks in pink gradient
\n
\nHeight- 24cm
\n
\nDiameter - 15 cm
\n
\nHand wash only",,,taxable,,0,0,,0,1,,,,,0,,,390,"All, Gold Selection, Vases",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00007-min-2-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00008-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00009-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00006-min-1-scaled.jpeg",,,,,,,,,0
67,simple,,"Big Vase Tangerine Sunrise",1,0,visible,"Big Vase Tangerine Sunrise with golden specks.
\n
\nHeight – 27,7  cm
\n
\nHand wash only","Big Vase Tangerine Sunrise with golden specks.
\n
\nHeight – 27,7  cm
\n
\nHand wash only",,,taxable,,0,0,,0,1,,0,0,0,0,,,460,"All, Gold Selection, Vases",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00035-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00034-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00033-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00031-min-1-scaled.jpeg",,,,,,,,,0
73,simple,,"L cup Blue-green",1,0,hidden,"Blue green L cup with golden specks and rim.
\n
\nHeight - 12,5 cm
\n
\nCapacity - 490 ml
\n
\nHand wash only
\n
\nPrice per one item","Blue green L cup with golden specks and rim.
\n
\nHeight - 12,5 cm
\n
\nCapacity - 490 ml
\n
\nHand wash only
\n
\nPrice per one item",,,taxable,,0,0,,0,1,,,,,0,,,140,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/untitled-1-of-1-5-min-1-scaled.jpg, https://laurinsceramics.com/wp-content/uploads/2023/03/untitled-1-of-1-20-min-3-scaled.jpg, https://laurinsceramics.com/wp-content/uploads/2023/03/untitled-1-of-1-6-min-1-scaled.jpg",,,,,,,,,0
77,simple,,"Mug Blue-green",1,0,hidden,"Blue-green mug with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 440ml
\n
\nHand wash only","Blue-green mug with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 440ml
\n
\nHand wash only",,,taxable,,0,0,,0,0,,,,,0,,,140,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00035-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00031-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00033-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00032-min-scaled.jpeg",,,,,,,,,0
84,simple,,"Mug Tangerine Sunrise",1,0,visible,"Mug Tangerine Sunrise with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 400 ml
\n
\nHand wash only
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made","Mug Tangerine Sunrise with golden specks, handle and rim
\n
\nHeight - 8,5 cm
\n
\nCapacity ~ 400 ml
\n
\nHand wash only
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made
\n
\n&nbsp;",,,taxable,,0,0,,0,0,,,,,0,,,150,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00014-min-2-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00012-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00015-min-3-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00011-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00013-min-1-scaled.jpeg",,,,,,,,,0
89,simple,,"S Vase B&W",1,0,hidden,"Small Vase in black and white gradient with gold accents
\n
\nHeight - 14,5 cm
\n
\nHand wash only.","Small Vase in black and white gradient with gold accents
\n
\nHeight - 14,5 cm
\n
\nHand wash only.",,,taxable,,0,0,,0,1,,,,,0,,,180,"All, Gold Selection, Vases",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00014-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00013-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00015-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00012-min-scaled.jpeg",,,,,,,,,0
96,simple,,"L cup gradient gold",1,0,hidden,"L cup gradient with golden specks
\n
\nHeight - 11,5 cm
\n
\nCapacity - 500 ml
\n
\nHand wash only","L cup gradient with golden specks
\n
\nHeight - 11,5 cm
\n
\nCapacity - 500 ml
\n
\nHand wash only",,,taxable,,0,0,,0,1,,,,11,0,,,140,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00010-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00007-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00011-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00009-min-scaled.jpeg",,,,,,,,,0
102,simple,,"L Cup Blue-green with Handle",1,0,visible,"L cup blue-green with golden specks, handle and rim
\n
\nHeight - 12 / 12,5 cm
\n
\nCapacity ~ 450 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made","L cup blue-green with golden specks, handle and rim
\n
\nHeight - 12 / 12,5 cm
\n
\nCapacity ~ 450 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\nEach item is crafted by hand and will contain small imperfections by nature of being hand made
\n
\n&nbsp;",,,taxable,,0,0,,0,1,,,,,0,,,160,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00022-min-2-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00051-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00049-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00048-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00047-min-1-scaled.jpeg",,,,,,,,,0
106,simple,,"S Cup Pink",1,0,hidden,"S cup with golden specks, handle and rim
\n
\nHeight - 6,8 cm
\n
\nCapacity ~ 220 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\n&nbsp;
\n
\n&nbsp;","S cup with golden specks, handle and rim
\n
\nHeight - 6,8 cm
\n
\nCapacity ~ 220 ml
\n
\nHand wash only, not microwave safe
\n
\nPrice per one item
\n
\n&nbsp;",,,taxable,,0,0,,0,0,,,,,0,,,105,"All, Cups, Gold Selection",,"World Wide","https://laurinsceramics.com/wp-content/uploads/2023/03/image00003-min-2-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00007-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00006-min-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00005-min-1-scaled.jpeg, https://laurinsceramics.com/wp-content/uploads/2023/03/image00004-min-1-scaled.jpeg",,,,,,,,,0
